<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTG,20160516,16.1418,16.1418,15.8682,15.9594,894230
CTG,20160513,16.1418,16.5066,15.9594,16.1418,1600710
CTG,20160512,16.5978,16.5978,16.0506,16.1418,1282940
CTG,20160511,15.9594,16.4154,15.777,16.4154,3463790
CTG,20160510,15.5946,16.0506,15.5034,15.8682,1709950
CTG,20160509,15.9594,16.233,15.6858,15.777,2398820
CTG,20160506,15.2298,15.8682,15.2298,15.777,3576280
CTG,20160505,15.1386,15.4122,14.9562,15.2298,1517550
CTG,20160504,15.1386,15.2298,14.865,14.9562,775300
CTG,20160429,14.6826,15.4122,14.6826,15.1386,1345320
CTG,20160428,14.9562,15.0474,14.6826,14.7738,1137280
CTG,20160427,15.5034,15.5034,15.0474,15.0474,1759290
CTG,20160426,15.5946,15.6858,15.321,15.4122,644470
CTG,20160425,15.5034,15.8682,15.5034,15.5946,2999940
CTG,20160422,14.5914,15.5946,14.5002,15.321,2636290
CTG,20160421,14.6826,14.6826,14.5002,14.5914,436360
CTG,20160420,14.5914,14.6826,14.409,14.5914,809560
CTG,20160419,14.865,14.865,14.5002,14.5914,593650
CTG,20160415,14.6826,14.865,14.6826,14.7738,1575310
CTG,20160414,14.7738,14.9562,14.6826,14.6826,479910
CTG,20160413,14.7738,14.865,14.5914,14.7738,889370
CTG,20160412,15.0474,15.1386,14.6826,14.7738,1469180
CTG,20160411,15.321,15.321,14.9562,15.0474,1579920
CTG,20160408,15.321,15.321,15.1386,15.2298,485640
CTG,20160407,15.321,15.321,15.0474,15.2298,1000690
CTG,20160406,14.9562,15.2298,14.865,15.2298,1125710
CTG,20160405,14.9562,15.1386,14.865,14.9562,316480
CTG,20160404,14.865,15.0474,14.7738,15.0474,341700
CTG,20160401,14.9562,15.0474,14.7738,14.865,499970
CTG,20160331,15.2298,15.2298,14.865,14.9562,573010
CTG,20160330,15.2298,15.2298,15.0474,15.2298,693910
CTG,20160329,15.4122,15.4122,15.1386,15.1386,531710
CTG,20160328,15.5946,15.5946,15.321,15.4122,260810
CTG,20160325,15.4122,15.5034,15.1386,15.4122,653890
CTG,20160324,15.777,15.777,15.4122,15.4122,549240
CTG,20160323,15.5946,15.777,15.5946,15.6858,206120
CTG,20160322,15.6858,15.8682,15.5946,15.5946,478150
CTG,20160321,15.8682,16.1418,15.777,15.777,633320
CTG,20160318,15.8682,15.9594,15.777,15.777,210600
CTG,20160317,15.8682,16.0506,15.777,15.8682,948590
CTG,20160316,15.777,15.9594,15.6858,15.777,661310
CTG,20160315,15.8682,15.8682,15.5946,15.777,749470
CTG,20160314,16.0506,16.0506,15.777,15.8682,556200
CTG,20160311,16.0506,16.1418,15.8682,15.8682,599880
CTG,20160310,15.9594,16.0506,15.8682,15.9594,337750
CTG,20160309,16.1418,16.233,15.8682,15.8682,848880
CTG,20160308,16.1418,16.3242,15.9594,16.1418,1265670
CTG,20160307,16.4154,16.4154,16.1418,16.233,738230
CTG,20160304,16.4154,16.5066,16.233,16.233,988840
CTG,20160303,16.4154,16.5066,16.233,16.4154,908900
CTG,20160302,16.1418,16.4154,16.1418,16.3242,600340
CTG,20160301,16.233,16.4154,16.0506,16.0506,795250
CTG,20160229,16.5978,16.5978,16.233,16.233,927670
CTG,20160226,16.689,16.7802,16.5978,16.689,391080
CTG,20160225,16.7802,16.8714,16.4154,16.7802,1745900
CTG,20160224,15.5034,16.5978,15.5034,16.5978,3102090
CTG,20160223,15.777,15.8682,15.5946,15.5946,547820
CTG,20160222,15.777,15.8682,15.5034,15.6858,798720
CTG,20160219,15.777,15.8682,15.6858,15.6858,464980
CTG,20160218,15.5946,15.8682,15.5034,15.8682,462570
CTG,20160217,15.5946,15.6858,15.5034,15.5946,264310
CTG,20160216,15.6858,15.777,15.5946,15.5946,168880
CTG,20160215,15.4122,15.777,15.4122,15.6858,153830
CTG,20160205,15.6858,15.777,15.6858,15.6858,223150
CTG,20160204,15.6858,15.6858,15.5034,15.6858,242050
CTG,20160203,15.4122,15.5946,15.2298,15.5034,182840
CTG,20160202,15.5946,15.8682,15.5034,15.5946,163090
CTG,20160201,16.0506,16.0506,15.5946,15.5946,325280
CTG,20160129,15.6858,15.777,15.5034,15.6858,220720
CTG,20160128,15.9594,16.0506,15.6858,15.6858,168290
CTG,20160127,15.8682,16.233,15.8682,15.9594,390160
CTG,20160126,15.5034,15.8682,15.321,15.8682,974540
CTG,20160125,15.0474,15.6858,15.0474,15.6858,879160
CTG,20160122,14.9562,15.0474,14.409,14.6826,874560
CTG,20160121,15.321,15.5034,14.865,14.9562,1144260
CTG,20160120,15.777,15.777,15.4122,15.4122,608350
CTG,20160119,15.2298,15.8682,15.2298,15.8682,1027250
CTG,20160118,15.6858,15.6858,14.9562,15.321,1397320
CTG,20160115,16.1418,16.233,15.8682,16.0506,648830
CTG,20160114,16.1418,16.1418,15.777,16.1418,853540
CTG,20160113,16.3242,16.4154,16.1418,16.1418,458080
CTG,20160112,16.1418,16.3242,16.0506,16.233,591100
CTG,20160111,16.1418,16.3242,16.0506,16.1418,667790
CTG,20160108,16.4154,16.4154,16.1418,16.1418,992590
CTG,20160107,16.5066,16.7802,16.233,16.5066,1592360
CTG,20160106,16.5066,16.7802,16.5066,16.689,544940
CTG,20160105,16.5066,16.689,16.4154,16.5066,319920
CTG,20160104,16.8713,16.9625,16.5065,16.689,404050
CTG,20151231,17.0537,17.0537,16.7801,16.9625,407840
CTG,20151230,16.9626,17.0538,16.7802,16.9625,638890
CTG,20151229,16.5066,16.8714,16.3242,16.8714,604950
CTG,20151228,16.5066,16.7802,16.4154,16.5066,395650
CTG,20151225,16.5978,16.689,16.4154,16.5066,286400
CTG,20151224,16.689,16.689,16.5066,16.5066,194940
CTG,20151223,16.689,16.7802,16.5066,16.5066,556450
CTG,20151222,16.7802,17.0538,16.689,16.689,426610
CTG,20151221,16.8714,16.8714,16.689,16.8714,440600
CTG,20151218,17.0537,17.1449,16.8713,16.8714,535760
CTG,20151217,17.0538,17.4186,16.9626,17.1449,744030
CTG,20151216,16.689,17.0538,16.5978,16.8714,655480
CTG,20151215,16.233,16.5978,16.1418,16.5978,610350
CTG,20151214,16.3242,16.5978,16.1418,16.1418,382340
CTG,20151211,16.5066,16.689,16.4154,16.4154,497990
CTG,20151210,16.8714,16.8714,16.4154,16.5066,647590
CTG,20151209,17.1449,17.1449,16.7801,16.7802,281150
CTG,20151208,16.5066,17.145,16.3242,17.0537,1018460
CTG,20151207,16.8714,16.8714,16.5066,16.5978,286410
CTG,20151204,16.9625,16.9625,16.6889,16.7802,849460
CTG,20151203,16.9625,17.0537,16.8713,16.9625,202200
CTG,20151202,16.7802,17.0538,16.7802,16.9625,809600
CTG,20151201,16.7802,16.9626,16.5978,16.689,576900
CTG,20151130,17.3273,17.3273,16.4153,16.7802,871270
CTG,20151127,17.6009,17.7833,17.4185,17.4185,644630
CTG,20151126,17.7833,17.7833,17.6009,17.7833,588680
CTG,20151125,17.8745,17.8745,17.6009,17.8745,682440
CTG,20151124,17.8745,17.9657,17.6921,17.8745,970280
CTG,20151123,18.3305,18.3305,17.9657,17.9657,537990
CTG,20151120,18.1481,18.2393,18.0569,18.1481,781130
CTG,20151119,18.4217,18.4217,18.1481,18.1481,554600
CTG,20151118,18.3305,18.4217,18.2393,18.2393,506460
CTG,20151117,18.4217,18.5129,18.3305,18.3305,930680
CTG,20151116,18.6953,18.6953,18.3305,18.5129,429910
CTG,20151113,18.6041,18.7865,18.4217,18.7865,887880
CTG,20151112,18.4217,18.7865,18.3305,18.7865,1434490
CTG,20151111,18.4217,18.6953,18.4217,18.5129,1086670
CTG,20151110,18.6953,18.7865,18.5129,18.5129,1068830
CTG,20151109,18.9689,19.0601,18.7865,18.8777,716880
CTG,20151106,18.9689,19.0601,18.6953,18.9689,1208400
CTG,20151105,18.8777,19.0601,18.8777,19.0601,1007490
CTG,20151104,19.1513,19.3337,18.9689,19.0601,1402290
CTG,20151103,19.0601,19.1513,18.8777,19.1513,1116870
CTG,20151102,18.9689,19.1513,18.8777,19.0601,1353930
