<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20140206,58.4532,59.0818,57.8247,57.8247,334740
MSN,20140127,60.3388,60.3388,58.7674,59.7103,146430
MSN,20140124,59.3961,60.9674,59.0818,60.9673,142800
MSN,20140123,57.8247,59.3961,57.5105,59.0818,213720
MSN,20140122,60.9674,60.9674,57.8247,58.139,235210
MSN,20140121,62.2244,62.2244,59.7103,60.6531,491030
MSN,20140120,60.9673,64.1099,60.9673,62.2244,593890
MSN,20140117,56.5677,60.0246,56.5677,60.0245,847000
MSN,20140116,54.6821,56.2534,54.6821,56.2534,539730
MSN,20140115,54.3678,54.682,54.0535,54.3678,139580
MSN,20140114,54.0535,54.3678,53.7392,54.0535,134720
MSN,20140113,54.0535,54.3678,53.7392,54.0535,118640
MSN,20140110,53.7393,54.6821,53.7393,54.0535,296040
MSN,20140109,53.1107,53.425,53.1107,53.425,100970
MSN,20140108,52.4822,53.1108,51.8537,53.1107,153340
MSN,20140107,51.5394,52.4822,51.5394,51.8537,121200
MSN,20140106,51.5394,51.8536,51.2251,51.5394,119510
MSN,20140103,51.5394,51.8537,51.2251,51.2251,48500
MSN,20140102,52.168,52.168,51.2252,51.5394,92560
MSN,20131231,51.8537,52.4822,51.5394,51.8537,101020
MSN,20131230,52.7965,53.1108,51.8537,51.8537,144730
MSN,20131227,52.7964,53.425,52.7964,52.7965,32130
MSN,20131226,53.425,53.425,53.1107,53.1107,59250
MSN,20131225,53.1107,53.7393,53.1107,53.425,93200
MSN,20131224,53.425,53.7393,53.1108,53.425,185210
MSN,20131223,54.0535,54.0535,53.1107,53.7393,298650
MSN,20131220,53.7393,54.6821,53.1107,54.682,1824120
MSN,20131219,53.425,54.0536,53.425,53.425,165590
MSN,20131218,53.7393,54.0536,53.1108,53.7393,94370
MSN,20131217,53.425,54.0535,53.425,53.7393,176960
MSN,20131216,53.7392,54.0535,53.1107,53.425,267530
MSN,20131213,54.682,54.9963,54.0535,54.0535,232120
MSN,20131212,53.425,54.6821,53.425,54.682,280310
MSN,20131211,55.3106,55.3106,53.7392,53.7393,233870
MSN,20131210,55.6248,57.1961,54.9963,54.9963,369880
MSN,20131209,54.682,54.682,54.0535,54.682,1873950
MSN,20131206,51.5394,51.8537,51.2251,51.2251,104970
MSN,20131205,51.8537,51.8537,51.2252,51.5394,123380
MSN,20131204,52.4822,52.4822,51.8536,51.8537,45240
MSN,20131203,51.5394,52.4822,51.5394,52.1679,263600
MSN,20131202,51.8537,51.8537,51.5394,51.5394,68200
MSN,20131129,51.5394,52.168,51.5394,51.8537,104520
MSN,20131128,52.1679,52.4822,51.5394,51.8537,123890
MSN,20131127,52.7965,53.1108,52.168,52.4822,217460
MSN,20131126,51.5394,52.7965,50.9109,52.7965,551760
MSN,20131125,50.5966,51.8536,50.2823,51.5394,499650
MSN,20131122,50.5966,50.5966,50.2823,50.2823,147600
MSN,20131121,50.9109,50.9109,50.2824,50.2823,283300
