<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20150901,48.535,49.0204,48.2923,48.2923,296390
VNM,20150831,49.0204,49.9911,48.2924,48.535,296400
VNM,20150828,48.535,49.0203,48.0496,49.0204,451290
VNM,20150827,49.0204,49.0204,48.0496,48.2923,254220
VNM,20150826,46.8363,49.0204,46.8363,48.535,484130
VNM,20150825,44.6522,47.807,44.6522,46.5936,799280
VNM,20150824,48.2924,48.2924,45.6229,45.8656,1180510
VNM,20150821,48.535,49.0204,47.5643,49.0204,696170
VNM,20150820,49.9911,50.4764,49.5057,49.5057,282500
VNM,20150819,49.5057,50.4765,49.0204,50.4764,387520
VNM,20150818,49.9911,50.4765,49.0204,49.9911,510930
VNM,20150817,50.9618,50.9618,49.5057,49.9911,387090
VNM,20150814,50.9618,51.9325,50.4764,50.9618,471740
VNM,20150813,49.9911,50.9618,49.5057,50.9618,612320
VNM,20150812,50.4764,50.9618,49.5057,49.9911,714920
VNM,20150811,52.4179,52.9032,50.9618,50.9618,438130
VNM,20150810,49.5057,51.9325,49.5057,51.9325,954290
VNM,20150807,47.3217,48.5351,47.079,48.535,609920
VNM,20150806,46.8363,47.807,46.5936,47.079,492470
VNM,20150805,46.0911,46.8189,46.0911,46.5936,433800
VNM,20150804,46.4842,46.4842,45.703,45.703,502300
VNM,20150803,46.8749,46.8749,46.0937,46.4842,270000
VNM,20150731,46.4842,47.2654,46.0936,46.8749,403180
VNM,20150730,47.2655,47.2655,46.4843,46.4842,220450
VNM,20150729,47.2655,47.6561,46.8749,47.2655,275430
VNM,20150728,47.6561,48.0467,47.2655,47.2655,341670
VNM,20150727,47.2655,47.6561,46.8749,47.6561,325470
VNM,20150724,48.0467,48.0467,47.2655,47.6561,406120
VNM,20150723,46.8748,48.4373,46.8748,47.6561,1141320
VNM,20150722,45.703,46.4842,45.3124,46.4842,490550
VNM,20150721,45.3124,45.703,45.3124,45.703,107860
VNM,20150720,45.703,45.703,44.9218,45.3124,189980
VNM,20150717,45.703,46.0936,45.3124,45.703,304130
VNM,20150716,46.0936,46.0936,45.3124,45.703,272910
VNM,20150715,46.0936,46.4842,45.703,46.0936,363400
VNM,20150714,45.703,46.0936,45.3124,46.0936,311610
VNM,20150713,45.7029,45.7029,45.3123,45.703,735240
VNM,20150710,44.9217,45.3123,44.5311,44.9217,178760
VNM,20150709,44.5311,45.3123,44.5311,44.9217,171970
VNM,20150708,45.703,45.703,44.5311,44.9217,271740
VNM,20150707,45.3124,45.703,44.9218,45.703,218990
VNM,20150706,44.9217,46.0936,44.9217,45.3124,634580
VNM,20150703,44.5311,44.9217,44.1405,44.9217,138790
VNM,20150702,44.5311,44.9217,44.1405,44.5311,158820
VNM,20150701,44.1405,44.9217,44.1405,44.5311,365250
VNM,20150630,44.1405,44.5311,43.7499,44.1405,370020
VNM,20150629,44.5311,44.9217,44.1405,44.5311,310320
VNM,20150626,42.9686,45.3123,42.9686,44.5311,1019860
VNM,20150625,42.578,43.3592,42.1874,43.3592,258240
VNM,20150624,42.9686,43.3592,42.578,42.578,245100
VNM,20150623,43.7499,44.1405,42.9687,43.3592,251260
VNM,20150622,42.1874,43.7499,42.1874,43.7499,736130
VNM,20150619,41.7967,42.1873,41.4061,41.7968,499620
VNM,20150618,41.0155,41.4061,41.0155,41.4061,117570
VNM,20150617,41.0155,41.4061,40.6249,41.0155,101620
VNM,20150616,41.4061,41.4061,40.6249,41.0155,74940
VNM,20150615,41.0155,41.4061,41.0155,41.4061,39900
VNM,20150612,41.4062,41.7968,41.0155,41.4061,86640
VNM,20150611,41.7968,42.1874,41.7968,42.1874,144380
VNM,20150610,41.7968,42.1874,41.4062,41.7968,59460
VNM,20150609,42.1874,42.1874,41.7968,41.7968,64760
VNM,20150608,41.7968,42.1874,41.7968,42.1874,63350
VNM,20150605,41.7968,42.1874,41.4062,41.7968,72050
VNM,20150604,41.4061,42.1873,41.4061,41.7968,89660
VNM,20150603,41.4061,41.7967,41.0155,41.4061,115560
VNM,20150602,41.4061,41.4061,41.0155,41.4061,30810
VNM,20150601,41.4061,41.7967,41.0155,41.4061,124300
VNM,20150529,41.4061,41.4061,41.0155,41.0155,54090
VNM,20150528,41.0155,41.4061,41.0155,41.4061,40000
VNM,20150527,41.0155,41.4061,41.0155,41.4061,59630
VNM,20150526,41.4061,41.4061,41.0155,41.4061,96200
VNM,20150525,41.7968,41.7968,41.0156,41.4061,98370
VNM,20150522,41.4061,41.7967,41.4061,41.7968,46510
VNM,20150521,41.7968,41.7968,41.0156,41.4061,70130
VNM,20150520,40.6249,41.7967,40.6249,41.7968,183590
VNM,20150519,40.6249,41.0155,40.6249,41.0155,46220
VNM,20150518,40.6249,41.0155,40.2343,41.0155,88910
VNM,20150515,41.0155,41.4061,40.6249,41.0155,98340
VNM,20150514,41.0155,41.4061,40.6249,41.0155,90950
VNM,20150513,41.0155,41.4061,41.0155,41.0155,45230
